id,name,label
2874,《 Hands-On Reinforcement Learning with Python：Master Reinforcement and Deep Reinforcement Learning Using OperAl Gym and TensorFlow》,textbook
2875,《A First Course in Database Systems》,textbook
2876,《ACM/ICPC算法基础训练教程》,textbook
2877,《ANTLR 4权威指南》,textbook
2878,《Artificial Intelligence A Modern Approach》,textbook
2879,《Bioinformatics: Sequence and Genome Analysis》,textbook
2880,《Computer Networking: A Top Down Approach》,textbook
2881,《Computer Vision: Models》,textbook
2882,《Data Structures》,textbook
2883,《Formal  Specification  Using  Z  (2nd  Edition)》,textbook
2884,《Intel凌动平台嵌入式应用与实践》,textbook
2885,《Interactive Computer Graphics – A Top-down Approach Using OpenGL,textbook
2886,《Introduction to Programming with C++》,textbook
2887,《Introduction to Software Testing (second edition)》,textbook
2888,《Introduction to the Theory of Computation. By Michael Sipser》,textbook
2889,《Java编程思想（第4版）》,textbook
2890,《Java程序设计》,textbook
2891,《Java语言程序设计与数据结构（基础篇）（原书第11版）》,textbook
2892,《Knowledge Representation and Reasoning》,textbook
2893,《NEMU实验手册》,textbook
2894,《OpenACC编程编程实战》,textbook
2895,《Pattern Recognition and Machine Learning》,textbook
2896,《Quantum Computation and Quantum Information》,textbook
2897,《UML和模式应用：面向对象分析和设计导论（第三版）》,textbook
2898,《程序设计语言编译原理（第3版）》,textbook
2899,《大数据》,textbook
2900,《大型企业微服务架构实践与运营》,textbook
2901,《多语自然语言处理》,textbook
2902,《火球：UML大战需求分析》,textbook
2903,《机器学习导论》,textbook
2904,《计算机视觉：算法与应用》,textbook
2905,《计算机视觉基础》,textbook
2906,《计算机图形学应用基础》,textbook
2907,《计算机组成与设计——硬件/软件接口（第5版）》,textbook
2908,《开放实验云平台U-SaaS信息安全专业课程》,textbook
2909,《可信计算3.0工程初步（第二版）》,textbook
2910,《离散数学》,textbook
2911,《离散数学》,textbook
2912,《媒体计算与内容分析》,textbook
2913,《脑与认知科学概论》,textbook
2914,《嵌入式系统》,textbook
2915,《情感计算》,textbook
2916,《区块链：原理》,textbook
2917,《人工智能》,textbook
2918,《软件安全分析与应用》,textbook
2919,《软件安全工程》,textbook
2920,《软件工程：实践者的研究方法》,textbook
2921,《软件逆向工程原理与实践》,textbook
2922,《软件体系结构（第2版）》,textbook
2923,《软件文档》,textbook
2924,《软件项目管理与素质拓展》,textbook
2925,《软件形式规格说明语言》,textbook
2926,《深入理解计算机系统（原书第3版）》,textbook
2927,《数据结构（C语言版）》,textbook
2928,《数据可视化的基本原理与方法》,textbook
2929,《数据挖掘概念与技术（原书第三版）》,textbook
2930,《数据挖掘－概念与技术》,textbook
2931,《数字设计和计算机体系结构》（第二版）,textbook
2932,《数字图像处理（第二版）》,textbook
2933,《数字图像处理（原书第三版）》,textbook
2934,《天津大学关于“毕业设计（论文）”的有关管理规定》,textbook
2935,《统计学习方法》,textbook
2936,《统计自然语言处理》,textbook
2937,《统计自然语言处理基础》,textbook
2938,《图解设计模式》,textbook
2939,《网络安全基础》,textbook
2940,《网络安全实验教程》,textbook
2941,《网络协议分析（第2版）》,textbook
2942,《物联网安全导论》,textbook
2943,《物联网导论（第三版）》,textbook
2944,《现代操作系统（原书第四版）》,textbook
2945,《现代处理器设计——超标量处理器基础》,textbook
2946,《信号与线性系统》,textbook
2947,《信息安全数学基础》,textbook
2948,《信息检索系统导论》,textbook
2949,《信息系统与安全对抗理论（第2版）》,textbook
2950,《虚拟现实概论》,textbook
2951,《应用密码学——协议》,textbook
2952,《云计算与分布式系统：从并行处理到物联网》,textbook
2953,《知识图谱：概念与技术》,textbook
2954,《知识图谱》,textbook
2955,《智能计算系统》,textbook
2956,《并行程序设计原理》,textbook
